home,FT,visitor,Date,hgoal,vgoal
Shakhtyor,3-1,Dinamo Tblisi,1975-09-28,3,1
SKA R/D,1-1,Zenit,1975-09-28,1,1
Zarya,1-1,Pahtakor,1975-09-28,1,1
Lokomotiv,1-1,CSKA,1975-10-03,1,1
Dinamo Moskva,0-0,Dnepr,1975-10-04,0,0
Chernomorets,1-0,Zarya,1975-10-05,1,0
Karpaty,0-0,Shakhtyor,1975-10-05,0,0
SKA R/D,3-1,Pahtakor,1975-10-05,3,1
Torpedo,2-0,Zenit,1975-10-05,2,0
Dinamo Tblisi,2-1,FC Ararat,1975-10-07,2,1
Dinamo Kiev,3-1,Spartak,1975-11-08,3,1
Spartak,1-0,Dnepr,1975-10-07,1,0
FC Ararat,1-0,Karpaty,1975-10-11,1,0
Chernomorets,1-1,SKA R/D,1975-10-11,1,1
Lokomotiv,0-1,Torpedo,1975-10-11,0,1
Pahtakor,0-1,Dinamo Tblisi,1975-10-11,0,1
Zarya,1-1,Shakhtyor,1975-10-11,1,1
Dinamo Moskva,2-1,Dinamo Kiev,1975-10-29,2,1
Zenit,1-1,CSKA,1975-11-05,1,1
FC Ararat,2-0,Lokomotiv,1975-10-17,2,0
Karpaty,1-0,Torpedo,1975-10-17,1,0
Pahtakor,5-0,Dinamo Kiev,1975-10-17,5,0
Chernomorets,1-2,Zenit,1975-10-18,1,2
Shakhtyor,1-0,Spartak,1975-10-18,1,0
CSKA,1-1,SKA R/D,1975-10-19,1,1
Dnepr,0-0,Dinamo Tblisi,1975-10-19,0,0
Zarya,0-6,Dinamo Moskva,1975-10-19,0,6
Dinamo Moskva,1-0,Shakhtyor,1975-10-25,1,0
FC Ararat,2-1,CSKA,1975-10-26,2,1
Dinamo Tblisi,1-1,Dinamo Kiev,1975-10-26,1,1
Dnepr,1-1,Pahtakor,1975-10-26,1,1
Karpaty,1-0,Zenit,1975-10-26,1,0
SKA R/D,0-1,Lokomotiv,1975-10-26,0,1
Spartak,0-0,Zarya,1975-10-26,0,0
Chernomorets,0-0,Torpedo,1975-10-27,0,0
Torpedo,2-1,Dnepr,1975-10-31,2,1
Zarya,0-1,FC Ararat,1975-10-31,0,1
CSKA,0-0,Chernomorets,1975-11-01,0,0
Pahtakor,0-0,Spartak,1975-11-01,0,0
Zenit,1-1,Dinamo Kiev,1975-11-01,1,1
Dinamo Tblisi,1-1,Dinamo Moskva,1975-11-02,1,1
Shakhtyor,4-0,SKA R/D,1975-11-02,4,0
Lokomotiv,1-0,Karpaty,1975-11-03,1,0
Dinamo Tblisi,1-0,Spartak,1975-10-29,1,0
Karpaty,2-0,CSKA,1975-11-09,2,0
Lokomotiv,2-2,Chernomorets,1975-11-09,2,2
Pahtakor,0-2,Dinamo Moskva,1975-11-09,0,2
Shakhtyor,3-0,FC Ararat,1975-11-09,3,0
SKA R/D,0-1,Zarya,1975-11-09,0,1
Zenit,0-0,Dnepr,1975-11-09,0,0
Dinamo Kiev,3-0,Torpedo,1975-11-16,3,0
